County,Region,State,Above or Below?,Avg. Adult Obesity (% of pop),Avg. Adult Smokers (% of pop),Avg. Food Insecure (% of pop),Avg. Physically Inactive (% of pop),Avg. Regional Obesity Rate,Latitude (generated),Longitude (generated)
Dane,Midwest,Wisconsin,10% below,22%,13%,12%,15%,32%,43.073,-89.4247
Johnson,Midwest,Iowa,9% below,23%,17%,14%,16%,32%,41.645,-91.5998
Hennepin,Midwest,Minnesota,9% below,23%,14%,12%,17%,32%,45.012,-93.4873
Johnson,Midwest,Kansas,9% below,23%,13%,12%,18%,32%,38.9038,-94.8319
Douglas,Midwest,Kansas,9% below,23%,17%,17%,19%,32%,38.8991,-95.2782
Olmsted,Midwest,Minnesota,8% below,24%,13%,9%,20%,32%,44.0156,-92.3784
DuPage,Midwest,Illinois,8% below,24%,12%,9%,18%,32%,41.8389,-88.091
Carver,Midwest,Minnesota,8% below,24%,13%,7%,16%,32%,44.8101,-93.7653
Riley,Midwest,Kansas,8% below,24%,17%,19%,17%,32%,39.3056,-96.8015
Scott,Midwest,Minnesota,7% below,25%,14%,7%,17%,32%,44.6795,-93.5028
Cook,Midwest,Illinois,7% below,25%,16%,15%,20%,32%,41.8129,-87.7536
Koochiching,Midwest,Minnesota,7% below,25%,17%,13%,27%,32%,48.3081,-93.7598
Lawrence,Midwest,South Dakota,7% below,25%,15%,13%,23%,32%,44.3682,-103.8124
Ramsey,Midwest,Minnesota,7% below,25%,16%,13%,18%,32%,45.0067,-93.0961
Winneshiek,Midwest,Iowa,7% below,25%,15%,11%,21%,32%,43.2932,-91.8426
La Crosse,Midwest,Wisconsin,7% below,25%,16%,12%,21%,32%,43.9075,-91.1276
Knox,Midwest,Illinois,7% below,25%,17%,15%,26%,32%,40.9298,-90.2134
Houston,Midwest,Minnesota,6% below,26%,16%,10%,25%,32%,43.6745,-91.5014
St. Louis,Midwest,Minnesota,6% below,26%,19%,13%,19%,32%,47.6532,-92.4287
Meade,Midwest,Kansas,6% below,26%,15%,11%,26%,32%,37.2402,-100.3633
Story,Midwest,Iowa,6% below,26%,17%,15%,20%,32%,42.037,-93.4652
Washington,Midwest,Minnesota,6% below,26%,13%,8%,18%,32%,45.0213,-92.8735
Kane,Midwest,Illinois,6% below,26%,14%,9%,19%,32%,41.9379,-88.4322
Waupaca,Midwest,Wisconsin,6% below,26%,16%,11%,25%,32%,44.4525,-88.9801
Dakota,Midwest,Minnesota,6% below,26%,14%,9%,17%,32%,44.6986,-93.0252
Cherry,Midwest,Nebraska,6% below,26%,16%,13%,31%,32%,42.5459,-101.125
Lancaster,Midwest,Nebraska,6% below,26%,16%,14%,19%,32%,40.7872,-96.6872
Fillmore,Midwest,Minnesota,6% below,26%,16%,10%,21%,32%,43.6761,-92.0901
Douglas,Midwest,Minnesota,6% below,26%,15%,10%,22%,32%,45.9337,-95.4525
Perkins,Midwest,Nebraska,6% below,26%,14%,10%,24%,32%,40.8495,-101.6496
Cook,Midwest,Minnesota,6% below,26%,17%,10%,20%,32%,47.8562,-90.4756
Pennington,Midwest,Minnesota,5% below,27%,16%,11%,22%,32%,48.0653,-96.0466
Butte,Midwest,South Dakota,5% below,27%,17%,11%,24%,32%,44.8942,-103.5074
Faribault,Midwest,Minnesota,5% below,27%,15%,10%,26%,32%,43.6808,-93.9481
Champaign,Midwest,Illinois,5% below,27%,17%,17%,21%,32%,40.1363,-88.2017
Kanabec,Midwest,Minnesota,5% below,27%,18%,12%,23%,32%,45.9423,-93.3307
Whiteside,Midwest,Illinois,5% below,27%,16%,12%,26%,32%,41.7565,-89.9385
Walworth,Midwest,Wisconsin,5% below,27%,17%,11%,26%,32%,42.6678,-88.5413
Waukesha,Midwest,Wisconsin,5% below,27%,13%,9%,17%,32%,43.0181,-88.3044
Rice,Midwest,Minnesota,5% below,27%,16%,10%,22%,32%,44.3629,-93.2822
Antelope,Midwest,Nebraska,5% below,27%,15%,12%,28%,32%,42.1782,-98.0677
Hooker,Midwest,Nebraska,5% below,27%,15%,12%,27%,32%,41.9192,-101.1349
Aitkin,Midwest,Minnesota,5% below,27%,16%,11%,29%,32%,46.6066,-93.4206
Deuel,Midwest,Nebraska,5% below,27%,16%,12%,27%,32%,41.1098,-102.3332
Winona,Midwest,Minnesota,5% below,27%,17%,11%,21%,32%,44.0197,-91.795
Chase,Midwest,Nebraska,5% below,27%,14%,11%,27%,32%,40.5299,-101.698
Stearns,Midwest,Minnesota,5% below,27%,15%,11%,21%,32%,45.5294,-94.6407
Brown,Midwest,Wisconsin,5% below,27%,16%,11%,21%,32%,44.4646,-87.9779
Morgan,Midwest,Missouri,5% below,27%,22%,17%,27%,32%,38.4384,-92.852
Ozaukee,Midwest,Wisconsin,5% below,27%,13%,9%,21%,32%,43.3679,-87.9585
Cass,Midwest,North Dakota,5% below,27%,16%,10%,21%,32%,46.9355,-97.2363
Saunders,Midwest,Nebraska,5% below,27%,16%,11%,27%,32%,41.2345,-96.6371
Sherburne,Midwest,Minnesota,5% below,27%,16%,9%,22%,32%,45.4032,-93.7579
Boone,Midwest,Missouri,5% below,27%,20%,17%,20%,32%,38.9469,-92.3414
Otter Tail,Midwest,Minnesota,5% below,27%,15%,10%,22%,32%,46.411,-95.718
Kandiyohi,Midwest,Minnesota,5% below,27%,16%,10%,23%,32%,45.1587,-95.0019
Vilas,Midwest,Wisconsin,5% below,27%,17%,14%,20%,32%,46.0789,-89.4371
